,predictor,predictee,score
0,Pers,Pers,91.1
1,Pers,Verg,79.7
2,Pers,Catvll,77.1
3,Pers,Ov,81.3
4,Pers,Lvcr,79.2
5,Pers,Ivv,81.2
6,Verg,Pers,82.4
7,Verg,Verg,89.0
8,Verg,Catvll,82.7
9,Verg,Ov,86.8
10,Verg,Lvcr,83.7
11,Verg,Ivv,83.5
12,Catvll,Pers,77.0
13,Catvll,Verg,79.3
14,Catvll,Catvll,90.3
15,Catvll,Ov,80.0
16,Catvll,Lvcr,78.5
17,Catvll,Ivv,78.2
18,Ov,Pers,83.6
19,Ov,Verg,86.5
20,Ov,Catvll,82.9
21,Ov,Ov,89.5
22,Ov,Lvcr,84.8
23,Ov,Ivv,84.8
24,Lvcr,Pers,81.3
25,Lvcr,Verg,82.6
26,Lvcr,Catvll,80.0
27,Lvcr,Ov,83.6
28,Lvcr,Lvcr,88.8
29,Lvcr,Ivv,81.7
30,Ivv,Pers,83.3
31,Ivv,Verg,83.9
32,Ivv,Catvll,80.2
33,Ivv,Ov,85.2
34,Ivv,Lvcr,82.9
35,Ivv,Ivv,88.4
