predictor,predictee,score
basic,Pers,82.6
basic,Verg,89.1
basic,Catvll,82.7
basic,Ov,86.7
basic,Lvcr,83.6
basic,Ivv,83.7
consonant,Pers,82.6
consonant,Verg,89.1
consonant,Catvll,82.6
consonant,Ov,86.7
consonant,Lvcr,83.6
consonant,Ivv,83.6
diphthong,Pers,82.4
diphthong,Verg,89
diphthong,Catvll,82.6
diphthong,Ov,86.6
diphthong,Lvcr,83.6
diphthong,Ivv,83.6
