predictor,Boeth,Catvll,Enn,Hor,Lvcan,Stat,Tib
Ele,0.9037,0.8506,0.8242,0.8529,0.888,0.88,0.9318
Hex,0.8547,0.8149,0.8956,0.9254,0.9514,0.9409,0.8031
Hex_ele,0.9675,0.9264,0.9058,0.9357,0.9625,0.9619,0.9736
Verg,0.7792,0.7516,0.7662,0.7691,0.8179,0.813,0.791
