predictor,Boeth,Catvll,Enn,Hor,Lvcan,Stat,Tib
Ele,0.9977,0.9826,0.9709,0.9886,0.9951,0.9934,0.9976
Hex,0.916,0.9329,0.9799,0.9975,0.9982,0.9983,0.8778
Hex_ele,0.9984,0.9889,0.9756,0.9977,0.9984,0.9981,0.9983
Verg,0.9191,0.9294,0.9717,0.9892,0.9938,0.9939,0.8838
