predictor,Boeth,Catvll,Enn,Hor,Lvcan,Stat,Tib
Ele,1.0,0.9716,0.9814,0.9709,0.9881,0.9855,0.9825
Hex,1.0,0.9616,0.9877,0.9951,0.994,0.9974,0.98
Hex_ele,1.0,0.9725,0.9938,0.9951,0.9984,0.9976,0.9891
Verg,0.8889,0.9562,0.9467,0.9484,0.9608,0.9843,0.9489
