predictor,predictee,score
basic,Pers,87.1
basic,Verg,96.8
basic,Catvll,83.4
basic,Ov,87.3
basic,Lvcr,84.8
basic,Ivv,90.3
consonant,Pers,87.2
consonant,Verg,96.8
consonant,Catvll,82.6
consonant,Ov,87.5
consonant,Lvcr,85
consonant,Ivv,90.1
diphthong,Pers,86.6
diphthong,Verg,96.8
diphthong,Catvll,82
diphthong,Ov,87.1
diphthong,Lvcr,84.8
diphthong,Ivv,90.3
