predictor,Boeth,Catvll,Enn,Hor,Lvcan,Stat,Tib
Ele,0.2,0.2098,0.2342,0.293,0.3659,0.2142,0.3988
Hex,0.6667,0.8173,0.8589,0.8416,0.8759,0.9155,0.8104
Hex_ele,0.75,0.8899,0.9259,0.9223,0.9368,0.9555,0.9103
Verg,0.2727,0.2578,0.2136,0.2271,0.3514,0.4005,0.1181
