predictor,Boeth,Catvll,Enn,Hor,Lvcan,Stat,Tib
Ele,0.9966,0.9702,0.9455,0.9812,0.992,0.9905,0.9968
Hex,0.8647,0.8712,0.9622,0.9961,0.9971,0.9975,0.8061
Hex_ele,0.9977,0.9823,0.954,0.9965,0.9974,0.9972,0.9976
Verg,0.8711,0.8672,0.947,0.983,0.99,0.9908,0.8202
