"catv" "ivv" "lvcr" "ovid" "pers" "verg"
"nulla" 0.18605982539001 0.117048756861479 0.103158720006602 0.0704234369198069 0.112258643915582 0.0409049432050596
"nil" 0.04293688278231 0.153374233128834 0.198064742412676 0.0345715053969961 0.112258643915582 0.0125861363707876
"quoniam" 0.04293688278231 0.0121084920891185 0.278528544017826 0.0371323576486255 0 0.0110128693244391
"ore" 0.04293688278231 0.0201808201485308 0.0412634880026409 0.11523835132332 0.0449034575662326 0.088102954595513
"tempore" 0.15743523686847 0.048433968356474 0.2125069632136 0.0486561927809575 0.0224517287831163 0.0173059375098329
"cui" 0.1431229426077 0.0887956086535357 0.0412634880026409 0.0537778972842162 0.0673551863493489 0.122714829615179
"genus" 0.05724917704308 0.0403616402970617 0.152674905609771 0.0332910792711814 0 0.0912494886882099
"caput" 0.04293688278231 0.0887956086535357 0.0453898368029049 0.089629828807027 0.0898069151324652 0.0786633523174224
"contra" 0.05724917704308 0.0403616402970617 0.129979987208319 0.0243280963904788 0.0224517287831163 0.116421761429785
"primum" 0.12881064834693 0.0282531482079432 0.136169510408715 0.0371323576486255 0.0224517287831163 0.0912494886882099
"omnes" 0.08587376556462 0.0766871165644172 0.0557057088035652 0.089629828807027 0.0673551863493489 0.0692237500393317
"mea" 0.27193359095463 0.024216984178237 0.00206317440013204 0.129323038707282 0.0224517287831163 0.0629306818539379
"ergo" 0 0.217952857604133 0.0845901504054138 0.0409736360260695 0.0224517287831163 0.0613574148075894
"sibi" 0.01431229426077 0.0807232805941233 0.0990323712063381 0.0845081243037683 0.157162101481814 0.0393316761587112
"nos" 0.10018605982539 0.117048756861479 0.096969196806206 0.0460953405293282 0 0.073943551178377
"auras" 0 0 0.0866533248055458 0.0793864198005096 0 0.0943960227809068
"illi" 0.04293688278231 0.0807232805941233 0.0165053952010563 0.0985928116877297 0.0673551863493489 0.0786633523174224
"fit" 0.02862458852154 0.00403616402970617 0.243454579215581 0.0307302270195521 0.0224517287831163 0.0220257386488783
