Source,Target,Weight,Type
catv,ovid,2,undirected
catv,pers,1,undirected
catv,verg,3,undirected
ivv,ovid,1,undirected
ivv,pers,3,undirected
ivv,verg,5,undirected
lvcr,ovid,4,undirected
lvcr,pers,2,undirected
lvcr,verg,1,undirected
ovid,catv,2,undirected
ovid,ivv,1,undirected
ovid,lvcr,4,undirected
ovid,pers,5,undirected
ovid,verg,3,undirected
pers,catv,1,undirected
pers,ivv,3,undirected
pers,lvcr,2,undirected
pers,ovid,5,undirected
pers,verg,6,undirected
verg,catv,3,undirected
verg,ivv,5,undirected
verg,lvcr,1,undirected
verg,ovid,3,undirected
verg,pers,6,undirected
